测点id,测点名称,数值类型,单位,用户,用户代码,通讯协议,测点类型,参数1,参数2,参数3,数据来源用户,数据来源用户代码,数据来源用户通讯协议,数据来源测点,数据去向用户,数据去向用户代码,数据去向用户通讯协议,数据去向测点,参数1,参数2,参数3
FZXT10006-b,被试泵运行返回故障,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10006_B,虚拟操作,XNCZ,OPC UA客户端,被试泵运行返回故障,,,,,,,
FZXT10007-b,辅助低压泵后压力上限停机,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,辅助低压泵后压力上限停机,,,,,,,
FZXT10007-b,辅助低压泵后压力上限停机,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10007_B,虚拟操作,XNCZ,OPC UA客户端,辅助低压泵后压力上限停机,,,,,,,
FZXT10008-b,被试泵入口压力下限停机,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵入口压力下限停机,,,,,,,
FZXT10008-b,被试泵入口压力下限停机,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10008_B,虚拟操作,XNCZ,OPC UA客户端,被试泵入口压力下限停机,,,,,,,
FZXT10009-b,被试泵出口压力上限停机,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵出口压力上限停机,,,,,,,
FZXT10009-b,被试泵出口压力上限停机,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10009_B,虚拟操作,XNCZ,OPC UA客户端,被试泵出口压力上限停机,,,,,,,
FZXT10010-b,冷却水压力下限停机,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,冷却水压力下限停机,,,,,,,
FZXT10010-b,冷却水压力下限停机,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10010_B,虚拟操作,XNCZ,OPC UA客户端,冷却水压力下限停机,,,,,,,
FZXT10011-b,被试泵转速超限停机,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵转速超限停机,,,,,,,
FZXT10011-b,被试泵转速超限停机,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10011_B,虚拟操作,XNCZ,OPC UA客户端,被试泵转速超限停机,,,,,,,
FZXT10012-b,被试泵入口温度上限停机,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵入口温度上限停机,,,,,,,
FZXT10012-b,被试泵入口温度上限停机,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10012_B,虚拟操作,XNCZ,OPC UA客户端,被试泵入口温度上限停机,,,,,,,
FZXT10013-b,油门杆动作,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,油门杆动作,,,,,,,
FZXT10013-b,油门杆动作,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10013_B,虚拟操作,XNCZ,OPC UA客户端,油门杆动作,,,,,,,
FZXT10014-b,油门杆供电正常,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,油门杆供电正常,,,,,,,
FZXT10014-b,油门杆供电正常,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10014_B,虚拟操作,XNCZ,OPC UA客户端,油门杆供电正常,,,,,,,
FZXT10015-b,反馈板电源正常,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,反馈板电源正常,,,,,,,
FZXT10015-b,反馈板电源正常,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10015_B,虚拟操作,XNCZ,OPC UA客户端,反馈板电源正常,,,,,,,
FZXT10016-b,使能停止校验,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,使能停止校验,,,,,,,
FZXT10016-b,使能停止校验,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10016_B,虚拟操作,XNCZ,OPC UA客户端,使能停止校验,,,,,,,
FZXT10017-b,停车开关关信号,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,停车开关关信号,,,,,,,
FZXT10017-b,停车开关关信号,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10017_B,虚拟操作,XNCZ,OPC UA客户端,停车开关关信号,,,,,,,
FZXT10018-b,停车开关开信号,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,停车开关开信号,,,,,,,
